CMDLINE /home/aryan/projects_linux/WLASL_USING_MEDIAPIPE_ND_ML/ExtractLandmarks/.venv/bin/python3 extract_all_landmarks.py
MEM 0.535156 1773070022.3580
MEM 58.242188 1773070022.4595
MEM 61.535156 1773070022.5597
MEM 83.460938 1773070022.6599
MEM 120.316406 1773070022.7601
MEM 319.507812 1773070022.8603
MEM 367.027344 1773070022.9605
MEM 372.769531 1773070023.0609
MEM 374.277344 1773070023.1612
MEM 377.480469 1773070023.2615
MEM 381.378906 1773070023.3618
MEM 384.468750 1773070023.4621
MEM 387.367188 1773070023.5624
MEM 388.226562 1773070023.6627
MEM 390.750000 1773070023.7629
MEM 392.835938 1773070023.8632
MEM 394.625000 1773070023.9635
MEM 396.980469 1773070024.0639
MEM 398.214844 1773070024.1642
MEM 398.214844 1773070024.2644
MEM 399.093750 1773070024.3646
MEM 399.101562 1773070024.4649
MEM 399.355469 1773070024.5651
MEM 399.359375 1773070024.6654
MEM 399.769531 1773070024.7656
MEM 400.390625 1773070024.8660
MEM 400.398438 1773070024.9663
MEM 400.398438 1773070025.0666
MEM 400.398438 1773070025.1669
MEM 400.648438 1773070025.2671
MEM 400.648438 1773070025.3674
MEM 281.539062 1773070025.4677
MEM 474.289062 1773070025.5680
MEM 486.472656 1773070025.6683
MEM 487.312500 1773070025.7687
MEM 487.707031 1773070025.8689
MEM 487.707031 1773070025.9693
MEM 487.714844 1773070026.0695
MEM 487.730469 1773070026.1698
MEM 487.742188 1773070026.2701
MEM 488.183594 1773070026.3705
MEM 488.183594 1773070026.4709
MEM 488.183594 1773070026.5712
MEM 488.433594 1773070026.6714
MEM 488.691406 1773070026.7716
MEM 488.691406 1773070026.8719
MEM 489.023438 1773070026.9721
MEM 489.285156 1773070027.0724
MEM 489.292969 1773070027.1727
MEM 489.292969 1773070027.2729
MEM 489.878906 1773070027.3732
MEM 489.878906 1773070027.4736
MEM 489.964844 1773070027.5738
MEM 490.218750 1773070027.6741
MEM 490.218750 1773070027.7745
MEM 490.218750 1773070027.8747
MEM 490.218750 1773070027.9750
MEM 490.875000 1773070028.0753
MEM 490.878906 1773070028.1755
MEM 490.878906 1773070028.2758
MEM 490.878906 1773070028.3761
MEM 491.996094 1773070028.4764
MEM 492.250000 1773070028.5767
MEM 492.250000 1773070028.6770
MEM 492.250000 1773070028.7773
MEM 492.250000 1773070028.8776
MEM 492.683594 1773070028.9779
MEM 492.687500 1773070029.0782
MEM 492.687500 1773070029.1785
MEM 492.695312 1773070029.2787
MEM 492.695312 1773070029.3790
MEM 493.195312 1773070029.4792
MEM 493.195312 1773070029.5795
MEM 493.195312 1773070029.6798
MEM 493.195312 1773070029.7801
MEM 493.195312 1773070029.8804
MEM 493.195312 1773070029.9807
MEM 493.203125 1773070030.0810
MEM 493.203125 1773070030.1813
MEM 493.203125 1773070030.2816
MEM 493.453125 1773070030.3818
MEM 493.453125 1773070030.4821
MEM 493.460938 1773070030.5824
MEM 493.460938 1773070030.6827
MEM 493.468750 1773070030.7830
MEM 493.468750 1773070030.8833
MEM 493.468750 1773070030.9836
MEM 493.468750 1773070031.0838
MEM 493.468750 1773070031.1840
MEM 493.468750 1773070031.2843
MEM 493.468750 1773070031.3845
MEM 493.468750 1773070031.4848
MEM 405.601562 1773070031.5850
MEM 488.214844 1773070031.6853
MEM 490.714844 1773070031.7855
MEM 490.820312 1773070031.8857
MEM 490.835938 1773070031.9860
MEM 490.843750 1773070032.0862
MEM 490.859375 1773070032.1865
MEM 491.300781 1773070032.2868
MEM 491.316406 1773070032.3870
MEM 491.324219 1773070032.4873
MEM 491.324219 1773070032.5876
MEM 491.332031 1773070032.6878
MEM 491.332031 1773070032.7881
MEM 492.257812 1773070032.8883
MEM 492.933594 1773070032.9886
MEM 492.933594 1773070033.0888
MEM 493.101562 1773070033.1890
MEM 493.242188 1773070033.2893
MEM 493.492188 1773070033.3895
MEM 493.492188 1773070033.4898
MEM 493.730469 1773070033.5900
MEM 493.742188 1773070033.6903
MEM 493.742188 1773070033.7905
MEM 493.742188 1773070033.8908
MEM 493.742188 1773070033.9911
MEM 493.742188 1773070034.0914
MEM 493.742188 1773070034.1917
MEM 493.750000 1773070034.2919
MEM 493.750000 1773070034.3922
MEM 493.917969 1773070034.4924
MEM 494.167969 1773070034.5927
MEM 494.167969 1773070034.6930
MEM 494.417969 1773070034.7933
MEM 494.417969 1773070034.8935
MEM 494.417969 1773070034.9938
MEM 494.417969 1773070035.0941
MEM 494.417969 1773070035.1943
MEM 494.417969 1773070035.2946
MEM 494.417969 1773070035.3948
MEM 494.417969 1773070035.4951
MEM 494.417969 1773070035.5954
MEM 494.417969 1773070035.6957
MEM 494.417969 1773070035.7960
MEM 494.417969 1773070035.8962
MEM 494.417969 1773070035.9964
MEM 494.417969 1773070036.0967
MEM 494.417969 1773070036.1970
MEM 494.417969 1773070036.2972
MEM 494.417969 1773070036.3975
MEM 494.421875 1773070036.4977
MEM 494.421875 1773070036.5979
MEM 494.421875 1773070036.6982
MEM 494.851562 1773070036.7984
MEM 494.851562 1773070036.8986
MEM 494.851562 1773070036.9990
MEM 494.851562 1773070037.0992
MEM 494.855469 1773070037.1994
MEM 494.855469 1773070037.2997
MEM 494.855469 1773070037.3999
MEM 494.855469 1773070037.5001
MEM 494.855469 1773070037.6003
MEM 494.855469 1773070037.7006
MEM 494.855469 1773070037.8009
MEM 494.855469 1773070037.9011
MEM 494.855469 1773070038.0013
MEM 494.855469 1773070038.1016
MEM 494.855469 1773070038.2018
MEM 494.855469 1773070038.3020
MEM 494.855469 1773070038.4022
MEM 494.855469 1773070038.5024
MEM 494.855469 1773070038.6026
MEM 494.855469 1773070038.7028
MEM 494.855469 1773070038.8031
MEM 494.855469 1773070038.9034
MEM 494.855469 1773070039.0036
MEM 494.855469 1773070039.1038
MEM 494.855469 1773070039.2041
MEM 494.855469 1773070039.3043
MEM 494.859375 1773070039.4045
MEM 494.859375 1773070039.5048
MEM 494.859375 1773070039.6050
MEM 494.859375 1773070039.7052
MEM 494.859375 1773070039.8055
MEM 494.863281 1773070039.9057
MEM 494.863281 1773070040.0060
MEM 494.863281 1773070040.1062
MEM 494.863281 1773070040.2065
MEM 603.175781 1773070040.3067
MEM 657.203125 1773070040.4069
MEM 657.210938 1773070040.5071
MEM 657.355469 1773070040.6073
MEM 657.363281 1773070040.7076
MEM 657.378906 1773070040.8078
MEM 657.386719 1773070040.9081
MEM 657.394531 1773070041.0083
MEM 657.394531 1773070041.1086
MEM 657.402344 1773070041.2087
MEM 657.972656 1773070041.3089
MEM 658.503906 1773070041.4092
MEM 658.703125 1773070041.5094
MEM 658.703125 1773070041.6096
MEM 658.703125 1773070041.7099
MEM 658.710938 1773070041.8101
MEM 659.789062 1773070041.9103
MEM 660.457031 1773070042.0107
MEM 660.707031 1773070042.1109
MEM 660.707031 1773070042.2111
MEM 660.707031 1773070042.3114
MEM 660.707031 1773070042.4116
MEM 660.707031 1773070042.5118
MEM 660.707031 1773070042.6121
MEM 660.714844 1773070042.7123
MEM 660.730469 1773070042.8127
MEM 660.730469 1773070042.9129
MEM 660.730469 1773070043.0131
MEM 660.988281 1773070043.1133
MEM 660.988281 1773070043.2136
MEM 660.988281 1773070043.3138
MEM 660.988281 1773070043.4140
MEM 660.988281 1773070043.5143
MEM 660.996094 1773070043.6145
MEM 660.996094 1773070043.7147
MEM 660.996094 1773070043.8150
MEM 660.996094 1773070043.9152
MEM 660.996094 1773070044.0154
MEM 660.996094 1773070044.1157
MEM 660.996094 1773070044.2159
MEM 660.996094 1773070044.3161
MEM 660.996094 1773070044.4164
MEM 660.996094 1773070044.5166
MEM 660.996094 1773070044.6168
MEM 660.996094 1773070044.7171
MEM 660.996094 1773070044.8173
MEM 660.996094 1773070044.9176
MEM 660.996094 1773070045.0179
MEM 660.996094 1773070045.1181
MEM 660.996094 1773070045.2184
MEM 660.996094 1773070045.3186
MEM 660.996094 1773070045.4188
MEM 661.000000 1773070045.5192
MEM 661.000000 1773070045.6194
MEM 661.000000 1773070045.7197
MEM 661.000000 1773070045.8200
MEM 661.000000 1773070045.9203
MEM 661.058594 1773070046.0206
MEM 661.058594 1773070046.1209
MEM 661.058594 1773070046.2211
MEM 661.058594 1773070046.3214
MEM 661.066406 1773070046.4216
MEM 661.066406 1773070046.5219
MEM 661.066406 1773070046.6221
MEM 661.316406 1773070046.7223
MEM 661.316406 1773070046.8225
MEM 661.316406 1773070046.9228
MEM 661.316406 1773070047.0230
MEM 661.316406 1773070047.1233
MEM 661.316406 1773070047.2235
MEM 661.316406 1773070047.3238
MEM 661.316406 1773070047.4240
MEM 661.316406 1773070047.5242
MEM 661.566406 1773070047.6245
MEM 661.566406 1773070047.7248
MEM 661.566406 1773070047.8251
MEM 661.566406 1773070047.9253
MEM 661.566406 1773070048.0257
MEM 661.570312 1773070048.1259
MEM 661.570312 1773070048.2262
MEM 661.570312 1773070048.3265
MEM 661.820312 1773070048.4268
MEM 661.820312 1773070048.5270
MEM 661.820312 1773070048.6273
MEM 661.820312 1773070048.7275
MEM 661.820312 1773070048.8277
MEM 633.726562 1773070048.9279
MEM 755.062500 1773070049.0281
MEM 757.218750 1773070049.1284
MEM 757.242188 1773070049.2287
MEM 758.855469 1773070049.3289
MEM 758.863281 1773070049.4292
MEM 758.878906 1773070049.5294
MEM 758.886719 1773070049.6297
MEM 758.886719 1773070049.7299
MEM 758.886719 1773070049.8302
MEM 758.894531 1773070049.9304
MEM 759.714844 1773070050.0308
MEM 759.714844 1773070050.1311
MEM 759.714844 1773070050.2314
MEM 759.714844 1773070050.3316
MEM 759.714844 1773070050.4319
MEM 759.714844 1773070050.5322
MEM 759.722656 1773070050.6324
MEM 759.722656 1773070050.7329
MEM 759.722656 1773070050.8332
MEM 759.722656 1773070050.9335
MEM 759.722656 1773070051.0338
MEM 759.730469 1773070051.1340
MEM 759.730469 1773070051.2343
MEM 759.730469 1773070051.3345
MEM 759.730469 1773070051.4348
MEM 760.308594 1773070051.5350
MEM 760.308594 1773070051.6353
MEM 760.312500 1773070051.7356
MEM 760.320312 1773070051.8358
MEM 760.320312 1773070051.9361
MEM 760.320312 1773070052.0364
MEM 760.320312 1773070052.1366
MEM 760.320312 1773070052.2369
MEM 760.328125 1773070052.3372
MEM 760.328125 1773070052.4374
MEM 760.328125 1773070052.5377
MEM 760.328125 1773070052.6380
MEM 760.328125 1773070052.7383
MEM 760.335938 1773070052.8385
MEM 760.335938 1773070052.9388
MEM 760.335938 1773070053.0392
MEM 760.335938 1773070053.1395
MEM 760.335938 1773070053.2398
MEM 760.335938 1773070053.3401
MEM 760.335938 1773070053.4404
MEM 760.335938 1773070053.5406
MEM 760.335938 1773070053.6410
MEM 760.335938 1773070053.7412
MEM 760.335938 1773070053.8415
MEM 760.335938 1773070053.9417
MEM 760.335938 1773070054.0419
MEM 760.335938 1773070054.1422
MEM 760.335938 1773070054.2424
MEM 760.335938 1773070054.3426
MEM 760.335938 1773070054.4429
MEM 760.335938 1773070054.5431
MEM 760.585938 1773070054.6433
MEM 760.835938 1773070054.7436
