CMDLINE /home/aryan/projects_linux/WLASL_USING_MEDIAPIPE_ND_ML/ExtractLandmarks/.venv/bin/python3 extract_all_landmarks.py
MEM 0.402344 1773069658.3933
MEM 10.742188 1773069658.4936
MEM 10.742188 1773069658.5938
MEM 11.332031 1773069658.6940
MEM 58.863281 1773069658.7942
MEM 69.375000 1773069658.8944
MEM 85.296875 1773069658.9946
MEM 134.816406 1773069659.0948
MEM 151.000000 1773069659.1950
MEM 191.250000 1773069659.2952
MEM 372.078125 1773069659.3954
MEM 387.937500 1773069659.4956
MEM 400.917969 1773069659.5958
MEM 378.769531 1773069659.6962
MEM 364.839844 1773069659.7964
MEM 362.558594 1773069659.8967
MEM 393.242188 1773069659.9970
MEM 342.746094 1773069660.0972
