CMDLINE /home/aryan/projects_linux/WLASL_USING_MEDIAPIPE_ND_ML/ExtractLandmarks/.venv/bin/python3 extract_all_landmarks.py
MEM 0.406250 1773069189.9814
MEM 57.824219 1773069190.0816
MEM 60.289062 1773069190.1818
MEM 82.636719 1773069190.2820
MEM 98.968750 1773069190.3823
MEM 303.015625 1773069190.4825
MEM 364.707031 1773069190.5828
MEM 368.339844 1773069190.6832
MEM 371.445312 1773069190.7834
MEM 375.871094 1773069190.8838
MEM 380.187500 1773069190.9841
MEM 383.437500 1773069191.0844
MEM 385.203125 1773069191.1847
MEM 388.144531 1773069191.2849
MEM 388.289062 1773069191.3851
MEM 390.269531 1773069191.4854
MEM 391.925781 1773069191.5857
MEM 392.933594 1773069191.6859
MEM 393.183594 1773069191.7862
MEM 394.550781 1773069191.8865
MEM 395.886719 1773069191.9870
MEM 398.046875 1773069192.0872
MEM 398.710938 1773069192.1874
MEM 399.152344 1773069192.2877
MEM 399.582031 1773069192.3880
MEM 399.582031 1773069192.4882
MEM 399.582031 1773069192.5886
MEM 400.089844 1773069192.6889
MEM 400.589844 1773069192.7891
MEM 401.089844 1773069192.8893
MEM 401.339844 1773069192.9896
MEM 401.339844 1773069193.0899
MEM 356.570312 1773069193.1902
MEM 482.437500 1773069193.2904
MEM 484.457031 1773069193.3907
MEM 484.480469 1773069193.4910
MEM 484.488281 1773069193.5913
MEM 484.496094 1773069193.6917
MEM 484.593750 1773069193.7919
MEM 484.796875 1773069193.8922
MEM 484.796875 1773069193.9925
MEM 486.394531 1773069194.0928
MEM 486.582031 1773069194.1930
MEM 486.589844 1773069194.2933
MEM 486.589844 1773069194.3936
MEM 486.589844 1773069194.4938
MEM 486.597656 1773069194.5941
MEM 486.597656 1773069194.6944
MEM 486.847656 1773069194.7947
MEM 486.859375 1773069194.8950
MEM 486.859375 1773069194.9952
MEM 487.582031 1773069195.0955
MEM 487.582031 1773069195.1958
MEM 488.015625 1773069195.2961
MEM 488.019531 1773069195.3964
MEM 488.019531 1773069195.4968
MEM 488.019531 1773069195.5971
MEM 488.019531 1773069195.6973
MEM 488.019531 1773069195.7976
MEM 488.019531 1773069195.8979
MEM 488.019531 1773069195.9981
MEM 488.269531 1773069196.0984
MEM 488.707031 1773069196.1987
MEM 488.710938 1773069196.2989
MEM 488.710938 1773069196.3992
MEM 488.730469 1773069196.4996
MEM 488.734375 1773069196.5999
MEM 488.984375 1773069196.7002
MEM 488.988281 1773069196.8006
MEM 488.988281 1773069196.9008
MEM 489.242188 1773069197.0012
MEM 489.242188 1773069197.1014
MEM 489.242188 1773069197.2017
MEM 489.500000 1773069197.3021
MEM 489.500000 1773069197.4024
MEM 489.503906 1773069197.5026
MEM 489.503906 1773069197.6029
MEM 489.503906 1773069197.7032
MEM 489.503906 1773069197.8034
MEM 489.503906 1773069197.9037
MEM 489.503906 1773069198.0039
MEM 489.503906 1773069198.1042
MEM 489.507812 1773069198.2045
MEM 489.507812 1773069198.3048
MEM 489.949219 1773069198.4051
MEM 489.949219 1773069198.5054
MEM 489.949219 1773069198.6057
MEM 489.949219 1773069198.7060
MEM 489.949219 1773069198.8063
MEM 489.968750 1773069198.9067
MEM 489.968750 1773069199.0069
MEM 490.218750 1773069199.1072
MEM 490.218750 1773069199.2075
MEM 490.425781 1773069199.3078
MEM 495.429688 1773069199.4080
MEM 551.320312 1773069199.5082
MEM 554.621094 1773069199.6085
MEM 554.621094 1773069199.7088
MEM 554.621094 1773069199.8091
MEM 554.636719 1773069199.9094
MEM 555.261719 1773069200.0096
MEM 555.835938 1773069200.1099
MEM 555.835938 1773069200.2102
MEM 555.843750 1773069200.3105
MEM 555.843750 1773069200.4107
MEM 555.867188 1773069200.5111
MEM 555.871094 1773069200.6114
MEM 555.878906 1773069200.7116
MEM 555.886719 1773069200.8119
MEM 555.886719 1773069200.9122
MEM 555.894531 1773069201.0125
MEM 555.902344 1773069201.1128
MEM 555.910156 1773069201.2131
MEM 555.910156 1773069201.3133
MEM 555.917969 1773069201.4136
MEM 555.929688 1773069201.5137
MEM 555.929688 1773069201.6139
MEM 555.929688 1773069201.7142
MEM 555.929688 1773069201.8144
MEM 555.937500 1773069201.9147
MEM 555.941406 1773069202.0149
MEM 555.941406 1773069202.1152
MEM 555.945312 1773069202.2154
MEM 555.945312 1773069202.3158
MEM 555.945312 1773069202.4160
MEM 555.945312 1773069202.5162
MEM 555.945312 1773069202.6164
MEM 555.953125 1773069202.7167
MEM 555.953125 1773069202.8170
MEM 555.953125 1773069202.9173
MEM 555.953125 1773069203.0176
MEM 555.953125 1773069203.1179
MEM 555.953125 1773069203.2181
MEM 555.953125 1773069203.3183
MEM 555.953125 1773069203.4185
MEM 556.199219 1773069203.5188
MEM 556.199219 1773069203.6190
MEM 556.199219 1773069203.7193
MEM 556.199219 1773069203.8195
MEM 556.199219 1773069203.9197
MEM 556.199219 1773069204.0200
MEM 556.449219 1773069204.1202
MEM 556.449219 1773069204.2205
MEM 556.449219 1773069204.3207
MEM 556.449219 1773069204.4210
MEM 556.449219 1773069204.5213
MEM 556.449219 1773069204.6216
MEM 556.449219 1773069204.7217
MEM 556.449219 1773069204.8220
